,id
0,1399500903586091016
1,1399498953901711361
2,1399492156092452867
3,1399492023942631426
4,1399490173151453185
5,1399484758418104320
6,1399482268486275073
7,1399469639399362563
8,1399469353884696578
9,1399468633932378114
10,1399466957167116289
11,1399464335701852165
12,1399460754936446978
13,1399459715462144003
14,1399459385055846400
15,1399415963766956033
16,1399414609723985920
17,1399414342605475840
18,1399414234275102721
19,1399375809077522432
20,1399370866136436741
21,1399370375159504903
22,1399370145462620161
23,1399367351510966280
24,1399360554544795651
25,1399360153607155715
26,1399358689161711620
27,1399358412778098689
28,1399358244221562880
29,1399357672747589633
30,1399240515862904835
31,1399217225484013571
32,1399212627562172416
33,1399210323945558017
34,1399210050355228672
35,1399199678726430721
36,1399196437401849863
37,1399184628565483523
38,1399184266014040064
39,1399169650722701313
40,1399155323546476545
41,1399155157523329027
42,1399154966187569157
43,1399154624012066816
44,1399154516101005314
45,1399142495183806464
46,1399142395413884928
47,1399142305798377473
48,1399142224839929857
49,1399141550257414144
50,1399137270347751426
51,1399132847718367235
52,1399113585121402880
53,1399113139149361153
54,1399052323708678164
55,1399006053434593281
56,1398995900765253636
57,1398994295235960836
58,1398994178265206787
59,1398849846191267846
60,1398849729539215363
61,1398849516380594176
62,1398846488994848768
63,1398846377879240704
64,1398842340605796353
65,1398834087524147208
66,1398831981605974017
67,1398831962660376579
68,1398829318839713793
69,1398818598668443651
70,1398810443158724610
71,1398809527974207490
72,1398806633501782020
73,1398806215535185920
74,1398806075550310406
75,1398805307053133824
76,1398805192632520706
77,1398804693149655043
78,1398804458373406731
79,1398786948517535747
80,1398785491793743873
81,1398784789637894144
82,1398780737818615813
83,1398780319445229568
84,1398780300277301248
85,1398777191224299526
86,1398776966497583106
87,1398773863534764034
88,1398773710320975872
89,1398773168882565120
90,1398763584637767686
91,1398762848294256644
92,1398762724579020803
93,1398761536211066890
94,1398761320300822535
95,1398744781719838725
96,1398744713323220994
97,1398717065817595904
98,1398716263283642368
99,1421236891337334785
100,1421236865110265856
101,1421236693399650307
102,1421235874663223301
103,1421229588387008512
104,1421228711928422404
105,1421228469027962881
106,1421197956976414721
107,1421162817470750723
108,1421136696821919749
109,1421136284219842561
110,1421135987309268995
111,1421135591358537730
112,1421135007951769600
113,1421134776313032709
114,1421134611833307136
115,1421133628432687107
116,1421132437099368455
117,1421132261760638976
118,1421132191506046976
119,1421131150223937549
120,1421130020697870341
121,1421126288711077890
122,1421125344371912708
123,1421125126817452034
124,1421124893102546946
125,1421001843631706112
126,1420916073726103553
127,1420912310558810112
128,1420909160112214016
129,1420907804605534211
130,1420886116006305792
131,1420871723415707654
132,1420870446854066177
133,1420869853431439368
134,1420869696992198661
135,1420867734406115337
136,1420866738665803793
137,1420791930934288384
138,1420789606660796419
139,1420771639881392129
140,1420767403605118977
141,1420767226815188997
142,1420761006133846019
143,1420760431220510739
144,1420759505420259328
145,1420759177064943620
146,1420758367841132563
147,1420752637662617610
148,1420748400564211722
149,1420738117758328836
150,1420737707836264448
151,1420733575134162948
152,1420733300910575619
153,1420627616655192067
154,1420625209829298176
155,1420553733382025224
156,1420546714424025096
157,1420542338221359108
158,1420541527743467520
159,1420541339457003522
160,1420541278761144329
161,1420541249048678404
162,1420536597196443653
163,1420533287894896649
164,1420530346853027840
165,1420529231449239553
