,id
0,1381693036485304324
1,1381692881451298830
2,1381662084392435716
3,1381655438022807560
4,1381655047122092039
5,1381625196419891201
6,1381603439860457474
7,1381600847063306240
8,1381598189514592259
9,1381597997302214656
10,1381596949292417026
11,1381596605669904384
12,1381595390068330499
13,1381594312077627395
14,1381592826207727625
15,1381574086258724868
16,1381573809594105862
17,1381572826327572489
18,1381572431383498756
19,1381569227627302913
20,1381439640239026181
21,1381426705487790081
22,1381398529252425728
23,1381397629024755714
24,1381388981695352833
25,1381347082641010692
26,1381346594885353475
27,1381329571367284737
28,1381329200393621508
29,1381327294724198405
30,1381326038320439299
31,1381325952664342530
32,1381325643883888648
33,1381325506046533633
34,1381325182552449028
35,1381324852481691659
36,1381319289739808770
37,1381293601557209089
38,1381291757929959424
39,1381291721200402434
40,1381282279562084355
41,1381282253586767875
42,1381281759678058496
43,1381281594967724039
44,1381280959601999872
45,1381280940715036674
46,1381279995130228742
47,1381279945268285443
48,1381279921868312576
49,1381279908803051523
50,1381277843800395777
51,1381277779103207426
52,1381275713664335872
53,1381275024431136771
54,1381274887751397376
55,1381274552106373122
56,1381274507483185154
57,1381273066471313408
58,1381271956729778179
59,1381271222227496963
60,1381271084222312448
61,1381271023023239169
62,1381270331915128832
63,1381270277233971203
64,1381270266953805831
65,1381265680490758147
66,1381265478132334596
67,1381265377611632648
68,1381265321441558530
69,1381112000713998337
70,1381107626692460544
71,1381106885047226368
72,1381086960845004803
73,1381281496942645250
74,1381274979925393411
75,1403495893488254979
76,1403485957622538244
77,1403485617888112643
78,1403450998400688129
79,1403376748922916865
80,1403375611859681283
81,1403374995267522562
82,1403373750226149382
83,1403372332803055617
84,1403364859748683785
85,1403364652021583874
86,1403356554175422465
87,1403354248499372034
88,1403338984110104577
89,1403241746134360064
90,1403206479713292288
91,1403132405024763908
92,1403126642319446020
93,1403125084806647813
94,1403068243552636935
95,1403010542026080264
96,1402991447419150346
97,1402991294192836615
98,1402814036207624195
