,user_id,before_suspension,after_suspension,covid_before_suspension,covid_after_suspension,non_covid_before_suspension,non_covid_after_suspension,suspended_user,measurement,group
0,1037541129019842560,0.6777748262792788,0.6600922447263372,0.6183175340164333,0.6609600902715458,0.6559658214508386,0.5881741310872853,AlexBerenson,gini,HE
1,1067266550,0.7051501604263606,0.6379776146220731,0.6066164335850073,0.5181252580289105,0.6880481244577963,0.6241926131149603,AlexBerenson,gini,HE
2,1089143694681391105,0.7013037303864782,0.6667553550775673,0.6333718155952855,0.5181737885086787,0.6717743298228372,0.6536551733933879,AlexBerenson,gini,HE
3,1106989053054869505,0.7437735852394936,0.7033841215963458,0.663619816056161,0.6145465692278291,0.7348286030554636,0.6928281825434386,AlexBerenson,gini,HE
4,1110361520,0.6796837769635001,0.6747122799351761,0.5978009059992291,0.6609535646840755,0.6611750805460975,0.6223367008402131,AlexBerenson,gini,HE
5,116344417,0.6094378269967378,0.6394425103923823,0.4757260398131991,0.4385871980189219,0.5985045305072543,0.6349284772822638,AlexBerenson,gini,HE
6,1217491530744836096,0.9148741136075088,0.3174999796800013,0.8605150148114719,0.1071428477678579,0.8934471334151644,0.2598039032295284,AlexBerenson,gini,HE
7,1243906650815303686,0.6262953764584949,0.5838533795607479,0.6120282172932878,0.5646642551010073,0.507333576937534,0.4799247135522574,AlexBerenson,gini,HE
8,1253373160369590274,0.7314560286392296,0.5710212592936554,0.653289172121818,0.4134259038765444,0.7403940733332165,0.6241997245766537,AlexBerenson,gini,HE
9,1294031824486883328,0.6860379810280081,0.6599715567952782,0.6341480792731671,0.6067090143775558,0.6396748601783416,0.6105388360480224,AlexBerenson,gini,HE
10,1298763078536921093,0.7436200478215552,0.6081442604325341,0.7094862394535068,0.6228526199956415,0.7177687878404984,0.5053024129192603,AlexBerenson,gini,HE
11,1299394219006664704,0.629991172552949,0.622594577893478,0.5917535153434726,0.5956581910661487,0.5713423667355847,0.5270668505306578,AlexBerenson,gini,HE
12,1303041213973622785,0.6847501297521718,0.6515485453896789,0.5906350469630686,0.5551879323245442,0.668495250049123,0.6337377672968204,AlexBerenson,gini,HE
13,1314978645635629056,0.5944322153891738,0.5903045822828211,0.5608164575434343,0.5685324803815527,0.4988671756206815,0.4683098830925682,AlexBerenson,gini,HE
14,1336374432139501568,0.7610252644812526,0.1184011963143451,0.6198952668622029,0.1003344392847962,0.8252819628664504,2.102197232857497e-17,AlexBerenson,gini,HE
