,id
0,1381754937487548419
1,1381750102474305538
2,1381749840229638145
3,1381742382849347589
4,1381740953552220161
5,1381740691034869764
6,1381740395164540929
7,1381739561299107840
8,1381736176000897026
9,1381735668058091526
10,1381735429779693572
11,1381733269255913472
12,1381733163647561732
13,1381730875725987845
14,1381729612699435010
15,1381726927606661122
16,1381726908900065280
17,1381726854218969088
18,1381725479141572617
19,1381724525134553094
20,1381724016453505031
21,1381723089503944711
22,1381722098054348803
23,1381722011630714881
24,1381721760173862921
25,1381721465268101123
26,1381720657457729538
27,1381719864772063233
28,1381570364602482689
29,1381561072839237635
30,1381545057015189505
31,1381544896591499269
32,1381544793097003009
33,1381544676700917761
34,1381544273267556352
35,1381542756074594306
36,1381316745101725700
37,1381313645720825856
38,1381310690980462596
39,1381310637461143554
40,1381308740486496265
41,1381308446407077897
42,1381304095437434886
43,1381302227525062656
44,1381301085587927042
45,1381300906998775814
46,1381108655337144322
47,1403488878938439704
48,1403355282567274500
49,1403333903029526535
50,1403333317345353729
51,1403332519685201921
52,1403327568661602304
53,1403327519454072837
54,1403327277014913029
55,1403327184044019717
56,1403327150950916101
57,1403327115878141958
58,1403327087113654274
59,1403326511952928770
60,1403326475797991424
61,1403326124394962944
62,1403326084746289152
63,1403325983428599808
64,1403325904324026373
65,1403325858069331968
66,1403325829329952768
67,1403325617848848385
68,1403325582595833860
69,1403325315737391108
70,1403325251908517889
71,1403325203367841799
72,1403325171533033473
73,1403324824835985415
74,1403322552987103237
75,1403320110409039874
76,1403281987679535107
77,1403281916271472643
78,1403281601438621696
79,1403280584881889280
80,1403273306799812616
81,1403271622845472769
82,1403271528171646979
83,1403270443864412162
84,1403270341917646848
85,1403270205757870084
86,1403270184819961859
87,1403265818058706944
88,1403239447618019329
89,1403227036848726016
90,1403223380854194176
91,1403221052034015233
92,1403220743077482498
93,1403220671186997248
94,1403220634356879360
95,1403219157525667840
96,1403218948271792129
97,1403218923051438082
98,1403218896367333378
99,1403218557945663491
100,1403205795823685635
101,1403201820621672448
102,1403201793572671489
103,1403198090769805322
104,1403197701831995392
105,1403182639423623173
106,1403176909740122113
107,1403176706123436035
108,1403176636976189440
109,1403175431508013063
110,1403173114452877318
111,1403172979404587010
112,1403171444176138243
113,1403170981183639558
114,1403170504253521926
115,1403129283208491011
116,1403126944724627459
117,1403125263991459841
118,1403125135050223621
119,1403125106495340546
120,1403124919098040320
121,1403124466415280130
122,1403124043407036424
123,1403123944480251906
124,1403123237047910401
125,1403123098761809922
126,1403121129959591936
127,1403120850363113472
128,1403120759472627715
129,1400996921209143297
130,1400997919713546241
131,1402593045443485708
132,1396989348294299652
133,1394710492082548737
134,1394708890076553222
135,1394708622928752645
136,1394709583692804104
137,1398203664683122691
138,1402593961210957832
139,1403120722810224642
140,1403120533600980992
141,1403120350649532428
142,1403119939389640709
143,1403119869730639874
144,1403119824390299649
145,1403119726499405824
146,1403119686187982853
147,1403118857016025094
148,1403118208945623041
149,1403117701673930754
150,1403117687459438595
151,1403117494483750930
152,1403115222068572166
153,1403112981261586432
154,1403108147821219846
155,1403099431927488518
156,1403096819756945409
157,1403096219019264013
158,1403091755206123521
159,1403091118141628421
160,1403049706159329280
161,1402700367733919744
