,id
0,1465445720203407362
1,1465445701308100616
2,1465445590972645383
3,1465390372851531776
4,1465388973853917198
5,1465388926156390410
6,1465387824983781387
7,1465385851089793027
8,1465383793989193730
9,1465379105751412736
10,1465031482964070404
11,1465000827047788552
12,1487200659225169920
13,1487200377065947136
14,1487168324266037255
15,1487167937735766017
16,1487167579059896326
17,1487166754883309572
18,1486537167312670729
19,1485830301725122562
20,1485749213333962770
21,1485349316936052748
22,1485330518275149829
23,1485098476413325320
24,1485098303477985284
25,1485098171978158083
26,1485035076299767809
27,1485021557445603334
28,1485019946283376648
29,1485019351904313352
30,1485017305641803781
31,1485016590521356291
32,1485015034535325697
33,1484997355497832454
34,1484996479756480519
35,1484993251979497476
36,1484992522464239617
37,1484991912138485762
38,1484991253985079304
39,1484991227527413760
40,1484988829425618948
41,1484771547575377921
42,1484770078365261828
43,1484769841307336704
44,1484768450266419201
45,1484768050708725760
46,1484767452173156359
47,1484669972269969412
48,1484669508510011392
49,1484663296951263237
50,1484662040425807878
51,1484653455142961156
52,1484653176334831620
53,1484619689124941827
54,1484370587375996930
55,1484370392143646727
56,1484370049154445315
57,1484361868869132295
58,1484344666635988994
59,1484341892103819271
60,1484341227034071044
61,1484338817553231875
62,1484298457217384448
63,1484295808002539523
64,1484294533311520771
65,1484291422610235393
66,1484290843716603904
67,1484289369410351108
68,1484289288778964993
69,1484288946230153226
70,1484288538082484224
71,1484288445749075971
72,1484287780712849411
73,1484122861728157698
74,1484106537626972163
75,1484101551534837764
76,1484101083765133313
77,1484097621128101890
78,1483918306893615113
79,1483918215336054786
80,1483915064839385088
81,1483915040432525314
82,1483912878772170754
83,1483912815182295043
84,1483912181569798153
85,1483897552764379142
86,1483641046525431811
87,1483636159905472513
88,1483635645457354753
89,1483625815799697408
90,1483564695789481984
91,1483564085216419845
92,1483562380403564547
93,1482554010620018688
94,1482551315897229327
95,1482551168639320064
96,1482550523949727745
97,1482550426041995265
98,1482549990497169408
99,1482518966199361536
100,1482518737643257857
101,1482518685961138180
102,1482518390468231178
103,1482513137958068224
104,1482381559181291521
105,1482378413310623745
106,1482373033125986307
107,1482368212671078402
108,1482366177645113344
109,1482090601256558594
110,1482048082447675393
111,1482046916254912512
112,1481816537195593729
113,1481794893316038661
114,1481168514077523968
115,1481159147953422338
116,1480919026612289540
117,1480724931549675523
118,1480682820804640769
119,1480404433150251009
120,1480402050026328067
121,1480341800388755456
122,1480296404023013377
123,1480294084900130818
124,1479364905568391169
125,1479342161938182146
126,1479341913790504963
127,1479341153333903363
128,1479339945097457665
129,1479339884670111744
130,1479225199144968192
131,1479196968664461314
132,1479173855029596160
133,1479157272609628161
134,1479156625277476866
135,1479156518163337217
136,1479151109478305793
137,1479150399126794242
138,1479150195833147393
139,1479148842066976768
140,1478977667718209536
141,1478969298437611522
142,1478969006698602498
143,1478967293912616960
144,1478967158285602816
145,1478905263490887682
146,1478617835672768514
147,1478617790495932417
148,1478614494179848194
149,1478455626338484227
150,1478455205989519360
151,1478313380234493955
152,1478312141060853761
153,1478312065131417604
154,1478311862735310848
155,1478311099401326593
156,1478308402920968192
157,1478205500835516417
158,1478204620807688193
159,1478203609535815681
160,1478128103595515906
161,1478116866048417792
162,1478116619792437249
163,1478115651428380674
164,1478115048098713600
165,1478113511066636289
166,1477918312684081154
167,1477906340387295232
168,1477905830515146752
169,1477905574025039873
170,1477905459411492865
171,1477679882448433154
172,1477677021039718401
173,1477023140563730432
174,1477021382756110338
175,1476745562128990210
176,1476673514564251664
177,1476671679325618198
178,1476670545332617232
179,1476668983344447502
180,1476668585023979531
181,1476660603452203009
182,1476660439735885825
183,1476660378130006031
184,1476656568221384725
185,1476652274743066627
186,1476651718658048015
187,1476651577804931090
188,1476609109625507840
189,1476608763973238784
190,1476598563614314497
191,1476598119873728518
192,1476597589373964303
193,1476262324172328960
194,1476261220097220610
195,1476258492038012929
196,1476257013914996739
197,1476256889776136194
198,1476256811351085056
199,1476077140915343361
200,1476076521353670656
201,1476073623521619969
202,1475863165803974658
203,1475671649588428802
204,1475671302337822721
205,1475671228442546176
206,1475670204600369154
207,1475669848218759168
208,1475669556882411520
209,1475170934218637314
210,1475169409769500672
211,1475169282350665731
212,1475168736759873537
213,1475168115491160064
214,1475167136368631809
215,1475166815244324864
216,1475166678551990274
217,1474428487452831745
218,1474428409782624256
219,1474403545160065041
220,1474108432210923531
221,1474105073412329478
222,1474068632607109126
223,1473798807833956353
224,1473798290500108289
225,1473797868381249544
226,1473796564556697607
227,1473796009251778564
228,1473795666145165312
229,1473795098450219013
230,1473794827439513611
231,1473794723752169472
232,1473793506741207044
233,1473792002122731522
234,1473791822015176708
235,1473789778906828802
236,1473770460735283211
237,1473769752422199306
238,1473769701515874315
239,1473769085766967303
240,1473768387746615301
241,1473767324033466378
242,1473521357883428870
243,1473519437877858304
244,1473519423688486915
245,1473516349116850177
246,1473516302752960512
247,1473515994530430981
248,1473512722180542464
249,1473511764436430849
250,1473507563295629313
251,1473372453162389508
252,1473370980915556360
253,1473370482682613760
254,1473368799625850882
255,1473367582178693132
256,1473351616124403718
257,1473351001000263687
