,id
0,1420868975177568257
1,1420868562533502980
2,1420867071802445824
3,1420866992928477187
4,1420858234303393796
5,1420857590188228609
6,1420857543144923145
7,1420857403441139715
8,1420857349863002119
9,1420857311371960323
10,1420856994605543427
11,1420856916507508740
12,1420847933931487232
13,1420847856898887681
14,1420847555689123841
15,1420846170100752384
16,1420846160562909185
17,1420846145610211329
18,1420846130867302401
19,1420844927311749120
20,1420843306037268481
21,1420842958807523336
22,1420841600616255491
23,1420841516533129217
24,1420840708353650689
25,1420840433819680769
26,1420839805366063104
27,1420839714525908996
28,1420839317673451524
29,1420836091293093888
30,1420835798828544000
31,1420835526190403585
32,1420835245998448645
33,1420834954670448649
34,1420834839738175498
35,1420834561638944771
36,1420834255962320900
37,1420834151402442757
38,1420833842756214786
39,1420833627802378243
40,1420833592482074630
41,1420833567165325312
42,1420833525507440650
43,1420833341109149702
44,1420833262465863683
45,1420832791458111494
46,1420832167429562368
47,1420832049783525377
48,1420831814063738881
49,1420831785441693696
50,1420829832141750273
51,1420829346860838916
52,1420816528031821825
53,1420816460113485830
54,1420816439473287170
55,1420810982528479236
56,1420810793348571136
57,1420810570316402689
58,1420784875884453897
59,1420760264421433350
60,1420757469295378436
61,1420757190634197013
62,1420721170396164098
63,1420720979962105857
64,1420719233781178373
65,1420718201034493957
66,1420715588314357760
67,1420715113225543689
68,1420713862303735808
69,1420713823678382080
70,1420713673312587785
71,1420628987940720641
72,1420628563502370818
73,1420628302692184070
74,1420628151290322944
75,1420628037519876102
76,1420627914945482755
77,1420627846943318016
78,1420627728076656642
79,1420627528511721474
80,1420627492461678594
81,1420627345531019265
82,1420625964162174978
83,1420625098394849291
84,1420624166860967941
85,1420624058568216576
86,1420621795749613571
87,1420609371407540227
88,1420609304076472322
89,1420609255544135680
90,1420581436222939137
91,1420569529785241604
92,1420566902435368969
93,1420566266197184517
94,1420565093327114240
95,1420564449757335555
96,1420563735593119744
97,1420563394390675458
98,1420561635031207939
99,1420561264711847937
100,1420561180360265735
101,1420561016098746368
102,1420559934060568576
103,1420559633597407234
104,1420558515790249984
105,1420556328372563971
106,1420556285599125505
107,1420556060624965634
108,1420552624894402562
109,1420552442618421250
110,1420549252577587201
111,1420549193379155970
112,1420542163629207556
113,1420541959026868233
114,1420538788204355587
115,1420538636899033088
116,1420538572243759107
117,1420538460465631233
118,1420538304127143937
119,1420534853725048837
120,1420533071141560323
121,1420532827989450755
122,1420530651669794816
123,1420530245573038085
124,1420528704925671426
125,1420528655890067463
126,1420527675169402880
127,1420526854549635078
128,1420526816687640576
129,1420526097519677448
130,1420521807199805440
131,1420521787159367690
132,1420520959413395456
133,1420518992268038148
134,1420518788143874049
135,1420517856416915456
136,1420517784589537280
137,1420517536848769027
138,1420515665316782087
139,1420515386735271939
140,1420514532271656964
141,1420508860532543493
142,1420508354825310216
143,1420508300215468035
144,1420503362282278914
145,1420502682914066433
146,1420502202083209219
147,1420502111528361988
148,1420502060160622594
149,1420501973560823808
150,1420497406890627073
151,1420496935979405312
152,1420496824733880322
153,1420496522001584134
154,1420494388065497088
155,1420494102026760192
156,1420493712853856260
157,1420493696638672898
158,1420493678380929024
159,1420486884388605956
160,1420486638090657792
161,1420484705149980684
162,1420484240026832904
163,1420483250309451783
164,1420481034437767174
165,1420480804497633284
166,1420480718992510982
167,1420480286320697344
168,1420480151628959756
169,1420479989439516676
170,1420479798363791367
171,1420479301561028617
172,1420479017883406342
173,1420478972308164610
174,1420478691369435144
175,1420478344538243082
176,1420478273805561859
177,1420478204620546055
178,1420477366770585605
179,1420476809469104141
180,1420476027080302593
181,1420474982778515456
182,1420474758483873795
183,1420474620264828932
184,1420474505114394628
185,1420474213039738886
186,1420473761531367427
187,1420473695785656320
188,1420473599388004354
189,1420471533089267713
190,1420471025867894787
191,1420470688184471557
192,1420467735415463947
193,1420464098039504897
194,1420462619870306307
195,1420462061642031109
196,1420461989969727491
197,1420461876115394566
198,1420458173388005377
199,1420456993379295236
200,1420456612158971907
201,1420456197002567690
202,1420455327598796807
203,1420454845706801155
204,1420454773090816000
205,1420453953439813632
206,1420452953077567493
207,1420452886140567554
208,1420449758590562310
209,1420449439752155138
210,1420448217473245184
211,1420447583231561730
212,1420447543754776578
213,1420447359943602176
214,1420446479576035330
215,1420446077870768131
216,1420445988867612672
217,1420445227433795591
218,1420445102137294848
219,1420444962202824705
220,1420441162729496576
221,1420441057431474177
222,1420440623585185796
223,1420439571754479617
224,1420429314068209670
225,1420429177740742664
226,1420428805462708233
227,1420428477451411456
228,1420428424808652802
229,1420427909324488705
230,1420425960042676232
231,1420425815834206211
232,1420425328212824064
233,1420401681506914310
234,1420401308192985090
235,1420400620570398724
236,1420400556288495626
237,1420400422754430979
238,1420399444273606658
239,1420399098268688387
240,1420397909695205381
241,1420397671999754245
242,1420397355925479424
243,1420369008176549893
244,1420367517051203594
245,1420365085722259457
246,1420364488855982080
247,1420363706249228311
248,1420362816490459141
249,1420362129983655942
250,1420358634530299907
251,1420358370138148871
252,1420353700736929793
253,1420353526589493248
254,1420352706850459651
255,1420352058524323847
256,1420351634945814528
257,1420351527601025027
258,1420351472911458313
259,1420351289494540289
260,1420267481319362561
261,1420266531057848325
262,1420266462128656384
263,1420264677259550723
264,1420258973534597120
265,1420223484974669827
266,1420223397359808515
267,1420222584390668294
268,1420216767381712899
269,1420216321644638208
270,1420216160344236033
271,1420215788762406914
272,1420215400156082180
273,1420215041765281793
274,1420214803168124931
275,1420214739263754240
276,1420214563774021634
277,1420214477719490561
278,1420213463163588608
279,1420213389939384325
280,1420212648155795457
281,1420212256151900163
282,1420211224474705920
283,1420210831963340801
284,1420210688509755392
285,1420208128499478528
286,1420207994847907846
287,1420207961624875015
288,1420205280042885124
289,1420195118930399244
290,1420195096889372674
291,1420192918619439111
292,1420192770657030144
293,1420192231340843014
294,1420189394623946755
295,1420184552635617285
296,1420184526601474052
297,1420184494498320394
298,1420183595755479045
299,1420183050961436678
300,1420182779053191169
301,1420182462630666241
302,1420182276613226499
303,1420182257952870401
304,1420182162670772233
305,1420180066919755783
306,1420179947163987974
307,1420179359764262917
308,1420178548808200193
309,1420176493200691202
